Point 301 --> || t = 509.1000000000 || max_dvdt = 7.4714956185 ||
Point 302 --> || t = 509.1000000000 || max_dvdt = 7.5143707133 ||
Point 303 --> || t = 509.1000000000 || max_dvdt = 7.5637381294 ||
Point 304 --> || t = 509.1000000000 || max_dvdt = 7.6198739171 ||
Point 305 --> || t = 509.1000000000 || max_dvdt = 7.6830835983 ||
Point 306 --> || t = 509.1000000000 || max_dvdt = 7.7536867634 ||
Point 307 --> || t = 509.1000000000 || max_dvdt = 7.8319974993 ||
Point 308 --> || t = 509.1000000000 || max_dvdt = 7.9183007280 ||
Point 309 --> || t = 509.1000000000 || max_dvdt = 8.0128247303 ||
Point 310 --> || t = 509.1000000000 || max_dvdt = 8.1157103731 ||
Point 311 --> || t = 509.1000000000 || max_dvdt = 8.2269778426 ||
Point 312 --> || t = 509.1000000000 || max_dvdt = 8.3464920347 ||
Point 313 --> || t = 509.1000000000 || max_dvdt = 8.4739281372 ||
Point 314 --> || t = 509.1000000000 || max_dvdt = 8.6087393537 ||
Point 315 --> || t = 509.1000000000 || max_dvdt = 8.7501291119 ||
Point 316 --> || t = 509.1000000000 || max_dvdt = 8.8970304085 ||
Point 317 --> || t = 509.1000000000 || max_dvdt = 9.0480950946 ||
Point 318 --> || t = 509.1000000000 || max_dvdt = 9.2016958057 ||
Point 319 --> || t = 509.1000000000 || max_dvdt = 9.3559428203 ||
Point 320 --> || t = 509.1000000000 || max_dvdt = 9.5087173397 ||
Point 321 --> || t = 509.1000000000 || max_dvdt = 9.6577215271 ||
Point 322 --> || t = 509.1000000000 || max_dvdt = 9.8005441904 ||
Point 323 --> || t = 509.1000000000 || max_dvdt = 9.9347393925 ||
Point 324 --> || t = 509.1000000000 || max_dvdt = 10.0579137185 ||
Point 325 --> || t = 509.1000000000 || max_dvdt = 10.1678166670 ||
Point 326 --> || t = 509.1000000000 || max_dvdt = 10.2624278767 ||
Point 327 --> || t = 509.2000000000 || max_dvdt = 10.3540994753 ||
Point 328 --> || t = 509.2000000000 || max_dvdt = 10.5943760111 ||
Point 329 --> || t = 509.2000000000 || max_dvdt = 10.8236187921 ||
Point 330 --> || t = 509.2000000000 || max_dvdt = 11.0380265435 ||
Point 331 --> || t = 509.2000000000 || max_dvdt = 11.2340756048 ||
Point 332 --> || t = 509.2000000000 || max_dvdt = 11.4086639515 ||
Point 333 --> || t = 509.2000000000 || max_dvdt = 11.5592330601 ||
Point 334 --> || t = 509.2000000000 || max_dvdt = 11.6838582398 ||
Point 335 --> || t = 509.2000000000 || max_dvdt = 11.7813013116 ||
Point 336 --> || t = 509.2000000000 || max_dvdt = 11.8510234629 ||
Point 337 --> || t = 509.2000000000 || max_dvdt = 11.8931601195 ||
Point 338 --> || t = 509.2000000000 || max_dvdt = 11.9084631358 ||
Point 339 --> || t = 509.3000000000 || max_dvdt = 12.0982628181 ||
Point 340 --> || t = 509.3000000000 || max_dvdt = 12.3507626890 ||
Point 341 --> || t = 509.3000000000 || max_dvdt = 12.5707788347 ||
Point 342 --> || t = 509.3000000000 || max_dvdt = 12.7569279406 ||
Point 343 --> || t = 509.3000000000 || max_dvdt = 12.9087515181 ||
Point 344 --> || t = 509.3000000000 || max_dvdt = 13.0266552742 ||
Point 345 --> || t = 509.3000000000 || max_dvdt = 13.1118098403 ||
Point 346 --> || t = 509.3000000000 || max_dvdt = 13.1660252601 ||
Point 347 --> || t = 509.3000000000 || max_dvdt = 13.1916120443 ||
Point 348 --> || t = 509.3000000000 || max_dvdt = 13.1912404754 ||
Point 349 --> || t = 509.3000000000 || max_dvdt = 13.1678076577 ||
Point 350 --> || t = 509.4000000000 || max_dvdt = 13.2507577684 ||
Point 351 --> || t = 509.4000000000 || max_dvdt = 13.4981448202 ||
Point 352 --> || t = 509.4000000000 || max_dvdt = 13.7121240607 ||
Point 353 --> || t = 509.4000000000 || max_dvdt = 13.8939218126 ||
Point 354 --> || t = 509.4000000000 || max_dvdt = 14.0453387616 ||
Point 355 --> || t = 509.4000000000 || max_dvdt = 14.1686158256 ||
Point 356 --> || t = 509.4000000000 || max_dvdt = 14.2663034576 ||
Point 357 --> || t = 509.4000000000 || max_dvdt = 14.3411412945 ||
Point 358 --> || t = 509.4000000000 || max_dvdt = 14.3959526588 ||
Point 359 --> || t = 509.4000000000 || max_dvdt = 14.4335562098 ||
Point 360 --> || t = 509.4000000000 || max_dvdt = 14.4566952190 ||
Point 361 --> || t = 509.4000000000 || max_dvdt = 14.4679835943 ||
Point 362 --> || t = 509.4000000000 || max_dvdt = 14.4698668932 ||
Point 363 --> || t = 509.4000000000 || max_dvdt = 14.4645960886 ||
Point 364 --> || t = 509.4000000000 || max_dvdt = 14.4542116893 ||
Point 365 --> || t = 509.4000000000 || max_dvdt = 14.4405358845 ||
Point 366 --> || t = 509.4000000000 || max_dvdt = 14.4251705860 ||
Point 367 --> || t = 509.4000000000 || max_dvdt = 14.4094995227 ||
Point 368 --> || t = 509.4000000000 || max_dvdt = 14.3946928445 ||
Point 369 --> || t = 509.4000000000 || max_dvdt = 14.3817129924 ||
Point 370 --> || t = 509.5000000000 || max_dvdt = 14.4054623443 ||
Point 371 --> || t = 509.5000000000 || max_dvdt = 14.4412841535 ||
Point 372 --> || t = 509.5000000000 || max_dvdt = 14.4590838601 ||
Point 373 --> || t = 509.1000000000 || max_dvdt = 7.4043296232 ||
Point 374 --> || t = 509.1000000000 || max_dvdt = 7.4348775884 ||
Point 375 --> || t = 509.1000000000 || max_dvdt = 7.4714956185 ||
Point 376 --> || t = 509.1000000000 || max_dvdt = 7.5143707133 ||
Point 377 --> || t = 509.1000000000 || max_dvdt = 7.5637381294 ||
